bbl,address,borough,unitsres,rs_units,yearbuilt,bldgclass,wow_link
1011280029,151 CENTRAL PARK WEST,MN,36,0,1908,D4,https://whoownswhat.justfix.org/bbl/1011280029
3029200043,253 POWERS STREET,BK,11,0,1920,C1,https://whoownswhat.justfix.org/bbl/3029200043
1014870001,1414 YORK AVENUE,MN,16,0,1910,D7,https://whoownswhat.justfix.org/bbl/1014870001
1021420050,270 FT WASHINGTON AVENUE,MN,36,0,1920,D4,https://whoownswhat.justfix.org/bbl/1021420050
1015020017,1254 MADISON AVENUE,MN,50,0,1927,D4,https://whoownswhat.justfix.org/bbl/1015020017
1018670074,1129 AMSTERDAM AVENUE,MN,45,0,1925,D7,https://whoownswhat.justfix.org/bbl/1018670074
3051620012,800 OCEAN AVENUE,BK,16,0,1914,C1,https://whoownswhat.justfix.org/bbl/3051620012
3014330047,2181 PACIFIC STREET,BK,16,0,1910,C1,https://whoownswhat.justfix.org/bbl/3014330047
1019770023,511 WEST 122 STREET,MN,30,0,1907,D4,https://whoownswhat.justfix.org/bbl/1019770023
3062990053,2143 82 STREET,BK,19,0,1921,C1,https://whoownswhat.justfix.org/bbl/3062990053
2030950001,705 EAST 179 STREET,BX,35,0,1916,C6,https://whoownswhat.justfix.org/bbl/2030950001
2032790004,383 EAST 198 STREET,BX,23,0,1905,C5,https://whoownswhat.justfix.org/bbl/2032790004
1019140055,158 WEST 130 STREET,MN,11,0,1881,C5,https://whoownswhat.justfix.org/bbl/1019140055
1019610057,74 MORNINGSIDE DRIVE,MN,157,0,1980,D7,https://whoownswhat.justfix.org/bbl/1019610057
1014980020,49 EAST 86 STREET,MN,47,0,1930,D4,https://whoownswhat.justfix.org/bbl/1014980020
2025150014,1210 NELSON AVENUE,BX,35,0,1926,C1,https://whoownswhat.justfix.org/bbl/2025150014
4012800048,35-55 80 STREET,QN,11,0,1918,C6,https://whoownswhat.justfix.org/bbl/4012800048
1004060040,547 EAST 12 STREET,MN,15,0,1900,C6,https://whoownswhat.justfix.org/bbl/1004060040
2025240012,924 SUMMIT AVENUE,BX,21,0,1910,C6,https://whoownswhat.justfix.org/bbl/2025240012
1013630016,439 EAST 51 STREET,MN,36,0,1925,D4,https://whoownswhat.justfix.org/bbl/1013630016
3076200033,1609 OCEAN AVENUE,BK,39,0,1926,C1,https://whoownswhat.justfix.org/bbl/3076200033
3021480027,346 ROEBLING STREET,BK,13,0,1920,D7,https://whoownswhat.justfix.org/bbl/3021480027
1019280047,230 WEST 123 STREET,MN,15,0,1910,C6,https://whoownswhat.justfix.org/bbl/1019280047
4021860088,111-01 66 ROAD,QN,45,0,1949,C6,https://whoownswhat.justfix.org/bbl/4021860088
2030280034,4293 PARK AVENUE,BX,20,0,1909,C1,https://whoownswhat.justfix.org/bbl/2030280034
3024820018,74 COMMERCIAL STREET,BK,27,0,1931,D5,https://whoownswhat.justfix.org/bbl/3024820018
3003550030,450 CLINTON STREET,BK,36,0,1900,C6,https://whoownswhat.justfix.org/bbl/3003550030
1002990025,29 ORCHARD STREET,MN,14,0,1880,C7,https://whoownswhat.justfix.org/bbl/1002990025
3004590014,120 1 PLACE,BK,15,0,1920,C1,https://whoownswhat.justfix.org/bbl/3004590014
1011240009,55 WEST 71 STREET,MN,12,0,1886,C5,https://whoownswhat.justfix.org/bbl/1011240009
1013190030,244 EAST 46 STREET,MN,12,0,1900,C4,https://whoownswhat.justfix.org/bbl/1013190030
2031140072,2355 SOUTHERN BOULEVARD,BX,26,0,1931,C1,https://whoownswhat.justfix.org/bbl/2031140072
1004050051,519 EAST 11 STREET,MN,12,0,1910,C6,https://whoownswhat.justfix.org/bbl/1004050051
4058630002,13-02 212 STREET,QN,84,0,1954,C6,https://whoownswhat.justfix.org/bbl/4058630002
4012190006,37-75 64 STREET,QN,49,0,1917,C6,https://whoownswhat.justfix.org/bbl/4012190006
1016460022,1867 2 AVENUE,MN,18,0,1910,C7,https://whoownswhat.justfix.org/bbl/1016460022
2027940058,1681 EASTBURN AVENUE,BX,17,0,1930,D1,https://whoownswhat.justfix.org/bbl/2027940058
1016250069,1269 PARK AVENUE,MN,11,0,1910,C1,https://whoownswhat.justfix.org/bbl/1016250069
3007420046,873 45 STREET,BK,12,0,1927,C7,https://whoownswhat.justfix.org/bbl/3007420046
3030820065,255 MC KIBBIN STREET,BK,59,0,1931,D7,https://whoownswhat.justfix.org/bbl/3030820065
1015830015,535 EAST 86 STREET,MN,143,0,1960,D4,https://whoownswhat.justfix.org/bbl/1015830015
1011200029,75 CENTRAL PARK WEST,MN,53,0,1929,D4,https://whoownswhat.justfix.org/bbl/1011200029
3010800043,320 8 AVENUE,BK,12,0,1920,C6,https://whoownswhat.justfix.org/bbl/3010800043
3078690011,2239 TROY AVENUE,BK,85,0,1953,D4,https://whoownswhat.justfix.org/bbl/3078690011
4082760658,56-20 MARATHON PARKWAY,QN,38,0,1977,C9,https://whoownswhat.justfix.org/bbl/4082760658
1007680059,238 WEST 19 STREET,MN,200,0,1986,D9,https://whoownswhat.justfix.org/bbl/1007680059
4106820053,214-47 HILLSIDE AVENUE,QN,25,0,1949,C6,https://whoownswhat.justfix.org/bbl/4106820053
3031050024,53 GRAHAM AVENUE,BK,14,0,1931,C7,https://whoownswhat.justfix.org/bbl/3031050024
1016340062,120 EAST 107 STREET,MN,11,0,1910,C6,https://whoownswhat.justfix.org/bbl/1016340062
1021640044,4316 BROADWAY,MN,21,0,1910,C7,https://whoownswhat.justfix.org/bbl/1021640044
1011850063,309 WEST 76 STREET,MN,12,0,1892,C1,https://whoownswhat.justfix.org/bbl/1011850063
1011290039,6 WEST 77 STREET,MN,92,0,1928,D4,https://whoownswhat.justfix.org/bbl/1011290039
2026930051,1175 REV JAMES POLITE AVE,BX,45,0,2003,N2,https://whoownswhat.justfix.org/bbl/2026930051
1017210017,24 MT MORRIS PARK WEST,MN,14,0,1900,D1,https://whoownswhat.justfix.org/bbl/1017210017
3026260032,203 NORMAN AVENUE,BK,11,0,1930,C1,https://whoownswhat.justfix.org/bbl/3026260032
4049940051,34-20 PARSONS BOULEVARD,QN,141,0,1962,D4,https://whoownswhat.justfix.org/bbl/4049940051
1008220045,4 WEST 21 STREET,MN,54,0,2005,D4,https://whoownswhat.justfix.org/bbl/1008220045
